Order Date,Sales,year,month,day,day_of_week,quarter,sales_lag1,rolling_mean_7
2014-01-09,40.544,2014,1,9,3,1,0.0,694.1208571428572
2014-01-10,54.83,2014,1,10,4,1,40.544,699.604
2014-01-11,9.94,2014,1,11,5,1,54.83,659.8725714285714
2014-01-12,0.0,2014,1,12,6,1,9.94,657.0817142857143
2014-01-13,3553.795,2014,1,13,0,1,0.0,535.181
2014-01-14,61.96,2014,1,14,1,1,3553.795,531.5812857142857
2014-01-15,149.95,2014,1,15,2,1,61.96,553.0027142857143
2014-01-16,299.964,2014,1,16,3,1,149.95,590.0627142857144
2014-01-17,0.0,2014,1,17,4,1,299.964,582.2298571428572
2014-01-18,64.864,2014,1,18,5,1,0.0,590.0761428571429
2014-01-19,378.594,2014,1,19,6,1,64.864,644.1610000000001
2014-01-20,2673.87,2014,1,20,0,1,378.594,518.4574285714285
2014-01-21,25.248,2014,1,21,1,1,2673.87,513.2128571428572
2014-01-22,0.0,2014,1,22,2,1,25.248,491.7914285714286
2014-01-23,46.019999999999996,2014,1,23,3,1,0.0,455.5137142857143
2014-01-24,0.0,2014,1,24,4,1,46.019999999999996,455.51371428571423
2014-01-25,0.0,2014,1,25,5,1,0.0,446.24742857142854
2014-01-26,1097.25,2014,1,26,6,1,0.0,548.9125714285714
2014-01-27,426.67,2014,1,27,0,1,1097.25,227.88400000000001
2014-01-28,3.928,2014,1,28,1,1,426.67,224.83828571428572
2014-01-29,0.0,2014,1,29,2,1,3.928,224.83828571428572
2014-01-30,240.5,2014,1,30,3,1,0.0,252.62114285714284
2014-01-31,290.666,2014,1,31,4,1,240.5,294.1448571428572
2014-02-01,468.9,2014,2,1,5,1,290.666,361.1305714285714
2014-02-02,211.64600000000002,2014,2,2,6,1,468.9,234.6157142857143
2014-02-03,97.11200000000001,2014,2,3,0,1,211.64600000000002,187.536
2014-02-04,134.38400000000001,2014,2,4,1,1,97.11200000000001,206.17257142857144
2014-02-05,0.0,2014,2,5,2,1,134.38400000000001,206.17257142857144
2014-02-06,330.512,2014,2,6,3,1,0.0,219.03142857142856
2014-02-07,180.32,2014,2,7,4,1,330.512,203.26771428571433
